distID,district,dead,injured,GovComplete,GovPartial,OthComplete,OthPartial,Treatment,Supplies
1,Achham,0,,,,,,,
2,Arghakhanchi,0,0,,,16,77,,
3,Baglung,0,0,,,800,1000,,
4,Baitadi,0,,,,,,,
5,Bajhang,0,,,,,,,
6,Bajura,0,,,,,1,,
7,Banke,0,0,,,,81,,
8,Bara,5,29,,,7,60,,
9,Bardiya,0,2,,,,40,,
10,Bhaktapur,261,1886,,,9000,,416,
11,Bhojpur,2,8,13,21,548,416,,
12,Chitwan,6,39,,,121,68,,
13,Dadeldhura,0,,,,,1,,
14,Dailekh,0,0,,,,9,,
15,Dang,0,3,,,,175,,
16,Darchula,0,,,,,,,
17,Dhading,527,499,,,20000,3000,326,Maintained
18,Dhankuta,0,2,,4,15,85,,
19,Dhanusha,1,19,,,85,60,,
20,Dolakha,60,128,,,32,62,100,Crisis
21,Dolpa,0,0,,,1,5,,
22,Doti,0,,,1,,,,
23,Gorkha,407,1033,,,0,0,314,Maintained
24,Gulmi,0,6,,32,507,1803,,
25,Humla,0,0,0,0,0,0,,
26,Ilam,0,3,1,7,1,33,,
27,Jajarkot,0,0,,,,28,,
28,Jhapa,0,14,1,35,1,29,,
29,Jumla,0,2,,,,2,,
30,Kabhrepalanchok,274,929,2,93,9505,18545,1800,Maintained
31,Kailali,0,,,5,,4,,
32,Kalikot,0,0,0,0,0,0,,
33,Kanchanpur,0,,,1,,,,
34,Kapilbastu,0,3,,,0,24,,
35,Kaski,2,30,,,174,700,,
36,Kathmandu,1049,2400,9990,12915,17750,20300,,
37,Khotang,0,4,0,7,39,19,,
38,Lalitpur,169,1090,111,79,16294,5818,,
39,Lamjung,4,25,,,31,1519,,
40,Mahottari,0,7,,,43,37,,
41,Makawanpur,33,115,,,363,497,250,
42,Manang,0,1,,,5,68,,
43,Morang,2,42,0,23,2,40,,
44,Mugu,0,0,0,0,0,0,,
45,Mustang,0,1,5,15,20,124,,
46,Myagdi,0,4,,,1,32,,
47,Nawalparasi,1,9,,,17,68,,
48,Nuwakot,707,964,,,30000,15000,,
49,Okhaldhunga,18,35,1,9,37,27,,
50,Palpa,0,4,,,353,1321,,
51,Panchthar,0,5,1,9,5,202,,
52,Parsa,5,23,,,0,30,,
53,Parwat,0,10,,,729,1378,,
54,Pyuthan,0,6,,,3,66,,
55,Ramechhap,24,24,,,,,21,Minimum 
56,Rasuwa,304,747,,,8000,1000,750,Crisis Everything
57,Rautahat,1,20,,,24,313,,
58,Rolpa,1,2,,,1,42,,
59,Rukum,1,1,,,26,50,,
60,Rupandehi,0,27,,,,10,,
61,Salyan,0,1,,,4,61,,
62,Sankhuwasabha,0,3,6,16,137,104,,
63,Saptari,0,16,1,14,0,47,,
64,Sarlahi,1,49,,,56,339,,
65,Sindhuli,9,55,,,10420,1638,,
66,Sindhupalchok,1587,614,,,,,150,
67,Siraha,0,19,0,1,0,57,,
68,Solukhumbu,22,79,6,5,1501,4533,,
69,Sunsari,7,24,,31,2,21,,
70,Surkhet,0,3,,,1,20,,
71,Syangja,0,6,,,134,175,,
72,Tanahun,1,18,,,278,893,,
73,Taplejung,1,3,0,13,5,70,,
74,Terhathum,0,1,1,11,3,30,,
75,Udaypur,0,25,0,26,33,154,,
