,,,,,,,,,
1,,Updated Date-2015.05.14 3:50 PM,,,,,,,
2,,Source-DRR Portal,,,,,,,
3,,Send Fund to PMDRF-http://pmrelief.opmcm.gov.np/,,,,,,,
4,,For More Information - http://eq.nitc.gov.np/,,,,,,,
5,,SN,District,Death and Injury,,House Destroyed,,,
6,,,,Death,Injury,Government,,Other,
7,,,,,,Complete,Partial,Complete,Partial
8,,,Total,"8,250","16,808",673,1742,479308,263026
,,,,,,,,,
9,,1,Sindhupalchowk,3229,859,0,0,63885,2751
10,,2,Kathmandu,1212,4634,0,0,36973,50753
11,,3,Nuwakot,1001,1311,14,15,57943,4200
12,,4,Dhading,723,702,93,58,43741,18720
13,,5,RASUWA,558,753,0,0,7040,2410
14,,6,Gorkha,412,0,45,14,44650,13345
15,,7,Bhaktapur,322,1861,0,0,18900,9090
16,,8,Kavrepalanchowk,317,2780,0,0,49933,23714
17,,9,Lalitpur,179,2529,168,136,16344,5851
18,,10,Dolakha,117,304,0,0,48880,3120
19,,11,Ramechhap,38,34,2,151,26743,13173
20,,12,Makawanpur,33,127,46,177,15012,17042
21,,13,Solukhumbu,22,80,13,21,2505,6176
22,,14,Okhaldhunga,19,53,9,20,2074,3107
23,,15,Sindhuli,14,148,0,0,12704,8087
24,,16,Sunsari,9,25,0,42,2,63
25,,17,Chitawan,7,95,0,0,2046,3217
26,,18,Bara,5,1,1,0,50,0
27,,19,Parsa,5,23,0,12,0,35
28,,20,Lamjung,5,31,7,13,7929,5460
29,,21,Mahottari,3,10,10,14,72,79
30,,22,Rautahat,3,26,0,9,0,222
31,,23,Morang,2,48,0,19,3,112
32,,24,Bhojpur,2,8,0,0,1414,3513
33,,25,Dhanusha,2,19,0,8,4,47
34,,26,Sarlahi,2,50,7,27,0,0
35,,27,Kaski,2,30,10,45,1744,5817
36,,28,Taplejung,1,4,0,69,51,436
37,,29,Terhathum,1,2,0,13,31,264
38,,30,Udayapur,1,29,3,86,95,243
39,,31,Nawalparasi,1,13,0,14,231,7888
40,,32,Tanahu,1,21,22,54,4927,15918
41,,33,Rolpa,1,5,0,6,47,128
42,,34,Rukum,1,1,10,16,61,120
43,,35,Panchthar,0,5,22,5,229,926
44,,36,Ilaam,0,6,7,25,316,2032
45,,37,Jhapa,0,19,0,43,4,131
46,,38,Dhankuta,0,2,2,10,450,1500
47,,39,Shankhuwasabha,0,5,64,63,845,2000
48,,40,Khotang,0,4,18,55,2110,4986
49,,41,Siraha,0,24,0,20,0,540
50,,42,Saptari,0,17,0,28,0,355
51,,43,Rupandehi,0,30,1,17,1,79
52,,44,Kapilbastu,0,3,0,2,0,35
53,,45,Palpa,0,15,2,24,1435,2665
54,,46,Arghakhanchi,0,2,0,8,140,485
55,,47,Gulmi,0,6,74,242,1699,3603
56,,48,Shyanja,0,6,4,21,3119,9695
57,,49,Manang,0,1,0,0,50,254
58,,50,Mustang,0,1,2,19,56,616
59,,51,Myagdi,0,7,0,0,115,1077
60,,52,Baglung,0,6,1,4,951,1855
61,,53,Parbat,0,11,12,63,1722,4168
62,,54,Dang,0,3,1,19,7,508
63,,55,Pyuthan,0,7,0,0,3,66
64,,56,Salyan,0,2,3,16,18,147
65,,57,Dolpa,0,0,0,0,1,5
66,,58,Mugu,0,0,0,0,0,0
67,,59,Humla,0,0,0,0,0,0
68,,60,Jumla,0,2,0,0,0,2
69,,61,Kalikot,0,0,0,1,2,0
70,,62,Jajarkot,0,1,0,0,0,28
71,,63,Dailekh,0,0,0,0,0,9
72,,64,Surkhet,0,3,0,11,1,31
73,,65,Bardiya,0,2,0,0,0,40
74,,66,Banke,0,0,0,0,0,81
75,,67,Kailali,0,1,0,5,0,4
76,,68,Doti,0,0,0,1,0,0
77,,69,Achhaam,0,0,0,0,0,0
78,,70,Bajura,0,0,0,0,0,1
79,,71,Bajhang,0,0,0,0,0,0
80,,72,Darchula,0,0,0,0,0,0
81,,73,Baitadi,0,0,0,0,0,0
82,,74,Dadeldhura,0,0,0,0,0,1
83,,75,Kanchanpur,0,1,0,1,0,0
