,,,,,,,,,
1,,Updated Date-2015.05.30 16:42,,,,,,,
2,,Source-DRR Portal,,,,,,,
3,,Send Fund to PMDRF-http://pmrelief.opmcm.gov.np/,,,,,,,
4,,For More Information - http://eq.nitc.gov.np/,,,,,,,
5,,Please note: Detail data of some districts are not yet available,,,,,,,
6,,SN,District,Death and Injury,,House Destroyed,,,
7,,,,Death,Injury,Government,,Other,
8,,,,,,Complete,Partial,Complete,Partial
9,,,Total,"8,691","22,054",1355,3395,502130,273847
,,,,,,,,,
10,,1,Sindhupalchowk,3440,1569,0,0,63885,2751
11,,2,Kathmandu,1222,7859,85,277,36973,50753
12,,3,Nuwakot,1080,888,14,15,57943,4200
13,,4,Dhading,732,1218,93,58,43741,18720
14,,5,Rasuwa,597,771,0,0,7040,2410
15,,6,Gorkha,440,955,228,37,44650,13430
16,,7,Bhaktapur,333,2101,0,0,18900,9090
17,,8,Kavrepalanchowk,318,1179,0,0,49933,23714
18,,9,Lalitpur,174,3052,217,198,17444,8064
19,,10,Dolakha,169,662,28,0,48880,3120
20,,11,Ramechhap,39,134,54,56,26743,13173
21,,12,Makawanpur,33,229,46,177,15012,17042
22,,13,Solukhumbu,20,100,75,142,8555,8828
23,,14,Okhaldhunga,20,61,1,191,10031,3107
24,,15,Sindhuli,14,232,92,231,18197,10028
25,,16,Chitawan,10,143,0,40,472,754
26,,17,Sunsari,9,35,0,42,2,63
27,,18,Parsa,6,50,0,12,0,35
28,,19,Bara,5,62,1,0,50,0
29,,20,Lamjung,5,40,39,48,8472,8876
30,,21,Mahottari,3,16,10,14,500,600
31,,22,Rautahat,3,38,0,9,70,199
32,,23,Kaski,3,38,10,45,1744,6963
33,,24,Morang,2,59,0,51,3,112
34,,25,Bhojpur,2,13,0,21,1414,3513
35,,26,Sarlahi,2,70,7,27,0,0
36,,27,Taplejung,1,7,0,69,51,436
37,,28,Terhathum,1,14,0,60,91,603
38,,29,Udayapur,1,35,52,460,95,516
39,,30,Siraha,1,39,0,20,0,540
40,,31,Dhanusha,1,45,0,8,4,47
41,,32,Nawalparasi,1,41,0,14,408,3099
42,,33,Palpa,1,16,2,24,1434,2665
43,,34,Gulmi,1,11,73,271,2100,4363
44,,35,Rolpa,1,2,0,6,62,159
45,,36,Rukum,1,1,10,16,136,976
46,,37,Panchthar,0,9,22,5,229,926
47,,38,Ilaam,0,10,34,42,316,2032
48,,39,Jhapa,0,25,0,46,95,144
49,,40,Dhankuta,0,5,0,39,929,1500
50,,41,Shankhuwasabha,0,8,88,208,1327,3031
51,,42,Khotang,0,8,18,55,2110,4986
52,,43,Saptari,0,24,0,28,0,355
53,,44,Rupandehi,0,39,1,17,1,79
54,,45,Kapilbastu,0,6,0,23,0,66
55,,46,Arghakhanchi,0,0,0,8,189,352
56,,47,Shyanja,0,24,4,21,3119,9695
57,,48,Tanahu,0,27,22,54,4927,15918
58,,49,Manang,0,1,8,12,63,285
59,,50,Mustang,0,1,2,19,56,616
60,,51,Myagdi,0,11,0,0,115,1077
61,,52,Baglung,0,15,2,4,1773,1963
62,,53,Parbat,0,21,12,63,1805,4169
63,,54,Dang,0,10,1,28,7,1080
64,,55,Pyuthan,0,9,0,0,3,66
65,,56,Salyan,0,2,1,17,24,282
66,,57,Dolpa,0,0,0,0,1,5
67,,58,Mugu,0,0,0,0,0,0
68,,59,Humla,0,0,0,0,0,0
69,,60,Jumla,0,2,0,0,0,2
70,,61,Kalikot,0,0,3,17,4,18
71,,62,Jajarkot,0,3,0,8,0,1877
72,,63,Dailekh,0,1,0,25,1,216
73,,64,Surkhet,0,3,0,11,1,31
74,,65,Bardiya,0,2,0,0,0,40
75,,66,Banke,0,1,0,0,0,81
76,,67,Kailali,0,1,0,5,0,4
77,,68,Doti,0,0,0,1,0,0
78,,69,Achhaam,0,0,0,0,0,0
79,,70,Bajura,0,0,0,0,0,1
80,,71,Bajhang,0,0,0,0,0,0
81,,72,Darchula,0,0,0,0,0,0
82,,73,Baitadi,0,0,0,0,0,0
83,,74,Dadeldhura,0,0,0,0,0,1
84,,75,Kanchanpur,0,1,0,0,0,0
