distID,district,dead,injured,GovComplete,GovPartial,OthComplete,OthPartial,population,deadpercent,injuredpercent
1,Achham,0,0,0,0,0,0,257477,0,0
2,Arghakhanchi,0,0,0,8,189,352,197632,0,0
3,Baglung,0,15,2,4,1773,1963,268613,0,0.006
4,Baitadi,0,0,0,0,0,0,250898,0,0
5,Bajhang,0,0,0,0,0,0,195159,0,0
6,Bajura,0,0,0,0,0,1,134912,0,0
7,Banke,0,1,0,0,0,81,491313,0,0
8,Bara,5,62,1,0,50,0,687708,0.001,0.009
9,Bardiya,0,2,0,0,0,40,426576,0,0
10,Bhaktapur,333,2101,0,0,18900,9090,304651,0.109,0.690
11,Bhojpur,2,13,0,21,1414,3513,182459,0.001,0.007
12,Chitwan,10,143,0,40,472,754,579984,0.002,0.025
13,Dadeldhura,0,0,0,0,0,1,142094,0,0
14,Dailekh,0,1,0,25,1,216,261770,0,0
15,Dang,0,10,1,28,7,1080,552583,0,0.002
16,Darchula,0,0,0,0,0,0,133274,0,0
17,Dhading,732,1218,93,58,43741,18720,336067,0.218,0.362
18,Dhankuta,0,5,0,39,929,1500,163412,0,0.003
19,Dhanusha,1,45,0,8,4,47,754777,0,0.006
20,Dolakha,169,662,28,0,48880,3120,186557,0.091,0.355
21,Dolpa,0,0,0,0,1,5,36700,0,0
22,Doti,0,0,0,1,0,0,211746,0,0
23,Gorkha,440,955,228,37,44650,13430,271061,0.162,0.352
24,Gulmi,1,11,73,271,2100,4363,280160,0,0.004
25,Humla,0,0,0,0,0,0,50858,0,0
26,Ilam,0,10,34,42,316,2032,290254,0,0.003
27,Jajarkot,0,3,0,8,0,1877,171304,0,0.002
28,Jhapa,0,25,0,46,95,144,812650,0,0.003
29,Jumla,0,2,0,0,0,2,108921,0,0.002
30,Kabhrepalanchok,318,1179,0,0,49933,23714,381937,0.083,0.309
31,Kailali,0,1,0,5,0,4,775709,0,0
32,Kalikot,0,0,3,17,4,18,136948,0,0
33,Kanchanpur,0,1,0,0,0,0,451248,0,0
34,Kapilbastu,0,6,0,23,0,66,571936,0,0.001
35,Kaski,3,38,10,45,1744,6963,492098,0.001,0.008
36,Kathmandu,1222,7859,85,277,36973,50753,1744240,0.070,0.451
37,Khotang,0,8,18,55,2110,4986,206312,0,0.004
38,Lalitpur,174,3052,217,198,17444,8064,468132,0.037,0.652
39,Lamjung,5,40,39,48,8472,8876,167724,0.003,0.024
40,Mahottari,3,16,10,14,500,600,627580,0,0.003
41,Makawanpur,33,229,46,177,15012,17042,420477,0.008,0.054
42,Manang,0,1,8,12,63,285,6538,0,0.015
43,Morang,2,59,0,51,3,112,965370,0,0.006
44,Mugu,0,0,0,0,0,0,55286,0,0
45,Mustang,0,1,2,19,56,616,13452,0,0.007
46,Myagdi,0,11,0,0,115,1077,113641,0,0.010
47,Nawalparasi,1,41,0,14,408,3099,643508,0,0.006
48,Nuwakot,1080,888,14,15,57943,4200,277471,0.389,0.320
49,Okhaldhunga,20,61,1,191,10031,3107,147984,0.014,0.041
50,Palpa,1,16,2,24,1434,2665,261180,0,0.006
51,Panchthar,0,9,22,5,229,926,191817,0,0.005
52,Parsa,6,50,0,12,0,35,601017,0.001,0.008
53,Parwat,0,21,12,63,1805,4169,146590,0,0.014
54,Pyuthan,0,9,0,0,3,66,228102,0,0.004
55,Ramechhap,39,134,54,56,26743,13173,202646,0.019,0.066
56,Rasuwa,597,771,0,0,7040,2410,43300,1.379,1.781
57,Rautahat,3,38,0,9,70,199,686722,0,0.006
58,Rolpa,1,2,0,6,62,159,224506,0,0.001
59,Rukum,1,1,10,16,136,976,208567,0,0
60,Rupandehi,0,39,1,17,1,79,880196,0,0.004
61,Salyan,0,2,1,17,24,282,242444,0,0.001
62,Sankhuwasabha,0,8,88,208,1327,3031,158742,0,0.005
63,Saptari,0,24,0,28,0,355,639284,0,0.004
64,Sarlahi,2,70,7,27,0,0,769729,0,0.009
65,Sindhuli,14,232,92,231,18197,10028,296192,0.005,0.078
66,Sindhupalchok,3440,1569,0,0,63885,2751,287798,1.195,1.195
67,Siraha,1,39,0,20,0,540,637328,0,0.006
68,Solukhumbu,20,100,75,142,8555,8828,105886,0.019,0.094
69,Sunsari,9,35,0,42,2,63,763487,0.001,0.005
70,Surkhet,0,3,0,11,1,31,350804,0,0.001
71,Syangja,0,24,4,21,3119,9695,289148,0,0.008
72,Tanahun,0,27,22,54,4927,15918,323288,0,0.008
73,Taplejung,1,7,0,69,51,436,127461,0.001,0.005
74,Terhathum,1,14,0,60,91,603,101577,0.001,0.014
75,Udaypur,1,35,52,460,95,516,317532,0,0.011
,,8691,22054,1355,3395,502130,273847,26494504,0.033,0.083
