id,district,dead,injured
1,Jhapa,0,1
2,Ilam,0,2
3,Panchthar,0,3
4,Taplejung,1,0
5,Morang,2,24
6,Sunsari,7,18
7,Dhankuta,0,2
8,Terhathum,0,1
9,Bhojpur,2,4
10,Sankhuwasabha,0,0
11,Saptari,0,8
12,Siraha,0,7
13,Udaypur,0,9
14,Khotang,0,3
15,Okhaldhunga,17,9
16,Solukhumbu,22,78
17,Kathmandu,1029,2400
18,Bhaktapur,241,966
19,Lalitpur,157,886
20,Nuwakot,448,205
21,dhading,303,293
22,Rasuwa,250,450
23,Kavre,241,761
24,Sindhupalchowk,1176,736
25,Dhanusha,1,13
26,Dolakha,50,68
27,Mahottari,0,7
28,Ramechhap,27,22
29,Sarlahi,1,43
30,Sindhuli,9,49
31,Bara,5,39
32,Chitwan,5,17
33,Makwanpur,35,95
34,Parsa,3,22
35,Rautahat,1,18
36,Baglung,0,0
37,Mustang,0,0
38,Myagdi,0,4
39,Parwat,0,9
40,Gorkha,223,205
