distID	district
1	Baglung
2	Mustang
3	Myagdi
4	Parbat
5	Bhaktapur
6	Dhading
7	Kathmandu
8	Kavrepalanchok
9	Lalitpur
10	Nuwakot
11	Rasuwa
12	Sindhupalchok
13	Dhanusa
14	Dolakha
15	Mahottari
16	Ramechhap
17	Sarlahi
18	Sindhuli
19	Bara
20	Makwanpur
21	Parsa
22	Rautahat
23	Chitawan
24	Bhojpur
25	Dhankuta
26	Morang
27	Sankhuwasabha
28	Sunsari
29	Terhathum
30	Ilam
31	Jhapa
32	Panchthar
33	Taplejung
34	Khotang
35	Okhaldhunga
36	Saptari
37	Siraha
38	Solukhumbu
39	Udayapur
40	Baitadi
41	Dadeldhura
42	Darchula
43	Kanchanpur
44	Achham
45	Bajhang
46	Bajura
47	Doti
48	Kailali
49	Banke
50	Bardiya
51	Dailekh
52	Jajarkot
53	Surkhet
54	Dolpa
55	Humla
56	Jumla
57	Kalikot
58	Mugu
59	Dang
60	Pyuthan
61	Rolpa
62	Rukum
63	Salyan
64	Gorkha
65	Kaski
66	Lamjung
67	Manang
68	Syangja
69	Tanahu
70	Kapilbastu
71	Arghakhanchi
72	Gulmi
73	Nawalparasi
74	Palpa
75	Rupandehi
