mid_id,old_id,district,distID
3,1,Baglung,1
45,2,Mustang,2
46,3,Myagdi,3
52,4,Parbat,4
10,5,Bhaktapur,5
17,6,Dhading,6
35,7,Kathmandu,7
36,8,Kavrepalanchok,8
38,9,Lalitpur,9
48,10,Nuwakot,10
56,11,Rasuwa,11
66,12,Sindhupalchok,12
19,13,Dhanusa,13
20,14,Dolakha,14
40,15,Mahottari,15
55,16,Ramechhap,16
64,17,Sarlahi,17
65,18,Sindhuli,18
8,19,Bara,19
41,20,Makwanpur,20
53,21,Parsa,21
57,22,Rautahat,22
12,23,Chitawan,23
11,24,Bhojpur,24
18,25,Dhankuta,25
43,26,Morang,26
62,27,Sankhuwasabha,27
69,28,Sunsari,28
74,29,Terhathum,29
26,30,Ilam,31
28,31,Jhapa,32
51,32,Panchthar,33
73,33,Taplejung,34
37,34,Khotang,35
49,35,Okhaldhunga,36
63,36,Saptari,30
67,37,Siraha,37
68,38,Solukhumbu,38
75,39,Udayapur,39
4,40,Baitadi,40
13,41,Dadeldhura,41
16,42,Darchula,42
32,43,Kanchanpur,43
1,44,Achham,44
5,45,Bajhang,45
6,46,Bajura,46
22,47,Doti,47
30,48,Kailali,48
7,49,Banke,49
9,50,Bardiya,50
14,51,Dailekh,51
27,52,Jajarkot,53
70,53,Surkhet,52
21,54,Dolpa,54
25,55,Humla,55
29,56,Jumla,56
31,57,Kalikot,57
44,58,Mugu,58
15,59,Dang,59
54,60,Pyuthan,60
58,61,Rolpa,61
59,62,Rukum,62
61,63,Salyan,63
23,64,Gorkha,64
34,65,Kaski,65
39,66,Lamjung,66
42,67,Manang,67
71,68,Syangja,68
72,69,Tanahu,69
33,70,Kapilbastu,70
2,71,Arghakhanchi,71
24,72,Gulmi,72
47,73,Nawalparasi,73
50,74,Palpa,74
60,75,Rupandehi,75
